name
"ACM SIGSPATIAL International Workshop on Searching and Mining Large Collections of Geospatial Data, GeoSearch"
"International Symposium on Computing and Networking Workshops, CANDARW"
"International Conference on Affective Computing and Intelligent Interaction, ACII"
"International Conference on Ambient Intelligence in Health Care, ICAIHC"
"International Conference on Data Science, Agents and Artificial Intelligence, ICDSAAI"
"International Symposium on Mathematical Foundations of Computer Science, MFCS"
"International Conference on Electronics, Computers and Communication Technology, CECCT"
"International Conference on Information and Education Innovations, ICIEI"
"ACM Symposium on Cloud Computing, SoCC"
"International Conference on Software and Information Engineering, ICSIE"
"ACM SIGSPATIAL International Workshop on Geospatial Humanities, GeoHumanities"
"International Symposium on Spatial and Temporal Data, SSTD"
"Workshop on Simplicity in Management of Data, SiMoD"
"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB"
"Annual IEEE Global Humanitarian Technology Conference, GHTC"
"ACM India Joint International Conference on Data Science and Management of Data, CODS-COMAD"
"Symposium on Internet of Things, SIoT"
Geoinformation Week: Broadening Geospatial Science and Technology
"IEEE International Conference on Intelligent Computing and Information Systems, ICICIS"
"International Conference on Biological Engineering and Medical Science, ICBioMed"
"International Conference on Innovative Sustainable Computational Technologies, CISCT"
"ACM International Conference on Supercomputing, ICS"
"Edition of the ACM Internet Measurement Conference, IMC"
"International Conference on Information Systems and Computing Technology, ISCTech"
"World Wide Web Conference, WWW"
"20th Free and Open Source Software for Geospatial, FOSS4G 2023"
"International Conference on Intelligent User Interfaces, IUI"
ITG Conference on Speech Communication
"Workshop on Generalisation (Benchmarking) in NLP, GenBench"
"IEEE Conference on Dependable and Secure Computing, DSC"
"International Conference on Information Technology and Digital Applications, ICITDA"
"IEEE International Joint Conference on Biometrics, IJCB"
"International Conference on Multimedia Systems and Signal Processing, ICMSSP"
"International Conference on Information Technology and Computer Communications, ITCC"
"International Conference on Artificial Intelligence and Intelligent Information Processing, AIIIP"
"International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH"
"International Workshop on Computational Approaches to Historical Language Change, LChange"
"ACM Technical Symposium on Computer Science Education, SIGCSE"
"International Conference on Grey Literature: Confronting Climate Change with Trusted Grey Resources, GL"
"IEEE International Conference on Systems and Control, ICSC"
"IEEE Symposium on Visualization for Cyber Security, VizSec"
"ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE"
"IEEE Latin American Conference on Computational Intelligence, LA-CCI"
"IEEE International Conference on Smart Cloud, SmartCloud"
"International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications, ICRAMET"
"Conference on Artificial Intelligence, Blockchain, Computing and Security, ICABCS"
"IEEE International Workshop on Mechatronics Systems Supervision, IW_MSS"
"International Conference on Integration of Computational Intelligent System, ICICIS"
"IEEE International Conference on ICT in Business Industry and Government, ICTBIG"
"ACM Conference on Hypertext and Social Media, HT"
"ACM Workshop on Information Hiding and Multimedia Security, IH and MMSec"
"Workshop on Verifiable Database Systems, VDBS"
"Conference of the European Chapter of the Association for Computational Linguistics, EACL"
"International Conference on Control Engineering and Artificial Intelligence, CCEAI"
"ACM/SIGMOD International Conference on Management of Data, SIGMOD"
"International Conference on Computing and Artificial Intelligence, ICCAI"
"International Conference on Emerging Frontiers in Electrical and Electronic Technologies, ICEFEET"
"International Conference on Informatics and Data-Driven Medicine, IDDM"
"IEEE International Conference on Visual Communications and Image Processing, VCIP"
"ACM Turing Award Celebration Conference, CHINA"
"International Conference on Video and Image Processing, ICVIP"
"Joint Conference, EDBT/ICDT-WS"
"International Conference on the Confluence of Advancements in Robotics, Vision and Interdisciplinary Technology Management, IC-RVITM"
"International Database Engineered Applications Symposium, IDEAS"
"Computer Applications and Technological Solutions, CATS"
"International Conference on Computers, Information Processing and Advanced Education, CIPAE"
"International Conference on Advanced Computing Technologies and Applications, ICACTA"
"International Conference on Computing Education Research, Koli Calling"
"European Conference on Computer Systems, EuroSys"
"ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS"
"International Conference of the Biometrics Special Interest Group, BIOSIG"
"International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR"
"CIPA Symposium on Documenting, Understanding, Preserving Cultural Heritage. Humanities and Digital Technologies for Shaping the Future"
"ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA"
"Conference on Computing Education Practice, CEP"
"International Conference on Dependable Systems, Services and Technologies, DESSERT"
"IEEE International Conference on Communication, Networks and Satellite, COMNETSAT"
"International Conference on Intelligent Computing and Next Generation Networks, ICNGN"
"International Conference on Intelligent Systems: Theories and Applications, SITA"
"International Conference on Computer Network Security and Software Engineering, CNSSE"
"International Conference on Advances in Computational Intelligence and Communication, ICACIC"
"IEEE International Conference on e-Business Engineering, ICEBE"
"International Symposium on Visual Information Communication and Interaction, VINCI"
"ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD"
"International Workshop on Data Management on New Hardware, DaMoN"
"International Conference on Data Analytics, Computing and Artificial Intelligence, ICDACAI"
"IEEE High Performance Extreme Computing Conference, HPEC"
"International Conference on Theory and Practice of Electronic Governance, ICEGOV"
EnviroInfo
"IEEE North Karnataka Subsection Flagship International Conference, NKCon"
"International Conference on Intelligent Cybernetics Technology and Applications, ICICyTA"
"Genetic and Evolutionary Computation Conference Companion, GECCO"
"Conference on Empirical Methods in Natural Language Processing, EMNLP"
"IEEE Afro-Mediterranean Conference on Artificial Intelligence, AMCAI"
"International Conference on Evolutionary Computing and Mobile Sustainable Networks, ICECMSN"
"ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data, BigSpatial"
"ACM International Systems and Software Product Line Conference, SPLC"
"1st IEEE Colombian Caribbean Conference, C3 2023"
"IEEE International Symposium on Computational Intelligence and Informatics, CINTI"
